#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
1218.0,314,52.90064
797.9,345,52.958636
1284.5,268,53.003557
1551.2,211,53.038528
1471.5,276,53.083915
1127.5,273,53.129478
1393.8,242,53.169707
731.6,245,53.544002
2383.8,191,53.576024
1295.7,319,53.629637
832.5,290,53.678115
1521.8,271,53.723552
1527.2,270,53.76873
1051.4,227,53.8068
1210.2,262,54.167223
1282.7,321,54.219703
1056.4,283,54.266317
817.5,323,54.319778
1378.6,321,54.373098
819.9,266,54.417377
907.0,279,54.463555
1053.8,244,54.820908
882.4,330,54.875832
876.4,387,54.940762
1543.4,326,54.995156
812.5,280,55.041902
735.4,246,55.082644
955.9,348,55.139975
851.5,219,55.49191
1888.4,264,55.535395
1473.7,294,55.584534
1375.2,273,55.629771
1376.2,329,55.684572
943.9,377,55.747727
1044.4,307,55.798592
1377.8,358,56.179053
1269.25,367,56.240402
997.9,234,56.281659
648.9,292,56.331484
1754.4,287,56.379311
1200.2,302,56.429539
2228.2,229,56.467583
1354.4,375,56.848551
1462.1,302,56.898804
1205.6,367,56.960307
1114.1,446,57.035021
717.2,330,57.089434
1304.5,292,57.138124
812.1,289,57.501532
1517.8,313,57.552946
1133.1,342,57.609343
1138.1,330,57.663522
1845.8,295,57.712013
1137.5,331,57.76611
1069.8,272,58.125494
1128.3,291,58.173844
1177.4,462,58.250632
1224.0,211,58.285303
1230.8,288,58.332941
1044.2,398,58.398852
1043.6,393,58.778654
1407.4,248,58.819534
489.5,313,58.871076
972.7,289,58.918986
1508.0,344,58.975607
1049.2,333,59.03087
966.9,270,59.0763
1131.5,277,59.438708
1367.0,299,59.488722
881.0,351,59.547633
968.1,360,59.607245
1250.2,263,59.650858
1307.9,294,59.699714
1052.2,291,59.748018
1532.8,283,60.113108
891.4,345,60.170506
1379.8,231,60.208714
1218.6,315,60.260944
976.5,345,60.31831
1437.3,358,60.377497
1045.4,272,60.738209
1288.1,409,60.805165
1304.5,305,60.855261
804.1,323,60.908265
856.2,433,60.980117
1648.1,377,61.042616
1362.0,330,61.414408
1044.2,303,61.46393
946.9,395,61.528778
869.8,391,61.593274
1113.9,385,61.65678
1414.2,343,61.712916
892.0,280,62.073492
1368.2,387,62.137382
1346.6,376,62.1996
977.5,347,62.256873
1820.3,280,62.302858
982.5,294,62.351225
1392.6,242,62.70563
1119.5,283,62.752408
1829.5,219,62.788287
1292.3,369,62.849286
1597.9,310,62.900361
877.0,325,62.953892
1283.7,332,63.009033
1299.5,355,63.384
1011.4,491,63.464856
1217.8,375,63.526664
1436.7,349,63.583928
1742.2,229,63.621596
1895.6,316,63.673932
1269.8,391,64.054794
1615.3,253,64.096346
707.6,430,64.167779
1373.6,306,64.218657
1119.7,448,64.293184
881.8,348,64.666419
974.5,355,64.72484
1117.5,424,64.79558
1121.3,317,64.848302
1059.2,246,64.889156
1452.1,297,64.938526
1115.3,438,65.328549
944.9,435,65.40049
1184.8,404,65.467052
1384.8,339,65.523205
1665.9,274,65.56856
1899.6,201,65.601106
